epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,5983.31,0.45166,0.78402,1.0192,0.62893,0.8603,0.82792,0.80891,0.24489,0.70262,0.78031,0.00113889,0.00113889,0.00113889
66,6075.17,0.45491,0.78635,1.01878,0.58156,0.94941,0.80118,0.79267,0.24365,0.74484,0.77753,0.00113064,0.00113064,0.00113064
67,6166.97,0.45806,0.77531,1.01569,0.69412,0.81522,0.84075,0.82012,0.25324,0.62931,0.78506,0.00112239,0.00112239,0.00112239
68,6258.98,0.46197,0.77723,1.01598,0.58947,0.95067,0.81456,0.79828,0.26046,0.73502,0.78447,0.00111414,0.00111414,0.00111414
69,6350.81,0.4517,0.77245,1.00863,0.64181,0.86998,0.82404,0.80246,0.24792,0.67185,0.78507,0.00110589,0.00110589,0.00110589
70,6442.87,0.44949,0.76034,1.01019,0.62919,0.90627,0.82625,0.8099,0.25183,0.72253,0.79095,0.00109764,0.00109764,0.00109764
71,6534.9,0.44963,0.75237,1.01808,0.61639,0.92666,0.82566,0.81244,0.24644,0.70855,0.77512,0.00108938,0.00108938,0.00108938
72,6626.68,0.45559,0.76111,1.00933,0.72124,0.85758,0.82191,0.79734,0.25636,0.68006,0.80008,0.00108113,0.00108113,0.00108113
73,6718.46,0.4531,0.76131,1.01717,0.74737,0.85627,0.83624,0.8245,0.27126,0.64864,0.80226,0.00107288,0.00107288,0.00107288
74,6810.43,0.44207,0.74639,1.0062,0.72237,0.74833,0.80427,0.79315,0.25174,0.69671,0.78138,0.00106463,0.00106463,0.00106463
75,6902.24,0.44661,0.75349,1.00957,0.71696,0.9143,0.87292,0.85752,0.24022,0.61035,0.77839,0.00105638,0.00105638,0.00105638
76,6994.17,0.4509,0.74549,1.0195,0.71415,0.91678,0.88969,0.86341,0.23961,0.55815,0.77456,0.00104813,0.00104813,0.00104813
77,7086.9,0.43804,0.71001,1.00314,0.73838,0.84244,0.84236,0.82835,0.25038,0.65527,0.77883,0.00103987,0.00103987,0.00103987
78,7178.66,0.46346,0.7245,1.01708,0.73294,0.84114,0.88307,0.87169,0.23522,0.61072,0.76916,0.00103162,0.00103162,0.00103162
79,7270.68,0.44092,0.73053,1.01283,0.60132,0.96684,0.82299,0.8045,0.25926,0.79003,0.7917,0.00102337,0.00102337,0.00102337
80,7362.5,0.43045,0.71265,1.00416,0.8473,0.86022,0.88589,0.87229,0.24734,0.57348,0.78198,0.00101512,0.00101512,0.00101512
81,7454.57,0.44937,0.71952,1.01597,0.7803,0.76881,0.82999,0.80796,0.25716,0.66357,0.78607,0.00100687,0.00100687,0.00100687
82,7546.43,0.43399,0.69684,1.0014,0.67954,0.9097,0.85633,0.84769,0.23023,0.62349,0.77355,0.000998616,0.000998616,0.000998616
83,7638.35,0.43234,0.70134,0.99879,0.81322,0.91304,0.905,0.89497,0.23826,0.5134,0.77456,0.000990365,0.000990365,0.000990365
84,7730.67,0.44825,0.6963,1.00762,0.74555,0.9271,0.8954,0.88495,0.24142,0.54633,0.7736,0.000982113,0.000982113,0.000982113
85,7822.8,0.42333,0.68391,1.00474,0.82088,0.85786,0.89873,0.87826,0.27262,0.53864,0.7964,0.000973861,0.000973861,0.000973861
86,7914.94,0.43618,0.68064,1.00567,0.69471,0.91181,0.86115,0.8529,0.22952,0.60678,0.77874,0.00096561,0.00096561,0.00096561
87,8007.05,0.44324,0.67778,1.01526,0.75824,0.84812,0.88621,0.87902,0.22877,0.61889,0.76692,0.000957358,0.000957358,0.000957358
88,8099.15,0.43025,0.68042,1.00781,0.76809,0.93079,0.91063,0.90203,0.21932,0.51094,0.76268,0.000949106,0.000949106,0.000949106
89,8191.35,0.43226,0.67741,1.00242,0.83506,0.83143,0.89088,0.88138,0.2344,0.51935,0.78025,0.000940855,0.000940855,0.000940855
90,8283.39,0.42624,0.64482,1.00298,0.75713,0.84233,0.90358,0.89052,0.23962,0.57822,0.78254,0.000932603,0.000932603,0.000932603
91,8375.44,0.41247,0.64976,0.99452,0.92983,0.85323,0.92491,0.9097,0.23419,0.46043,0.77456,0.000924352,0.000924352,0.000924352
92,8467.72,0.42495,0.66001,0.99833,0.84071,0.92873,0.92502,0.91676,0.22803,0.44719,0.76437,0.0009161,0.0009161,0.0009161
93,8559.88,0.4178,0.62746,0.99544,0.79,0.79316,0.88471,0.87256,0.22254,0.56391,0.7683,0.000907848,0.000907848,0.000907848
94,8651.74,0.41435,0.63817,0.99598,0.69731,0.93729,0.87385,0.86172,0.22406,0.56959,0.76154,0.000899597,0.000899597,0.000899597
95,8743.61,0.41251,0.63291,0.9904,0.80449,0.87584,0.91242,0.90428,0.22842,0.49637,0.76972,0.000891345,0.000891345,0.000891345
96,8835.51,0.42564,0.62313,1,0.74195,0.88359,0.89039,0.88182,0.2297,0.5239,0.76721,0.000883093,0.000883093,0.000883093
97,8927.38,0.41784,0.62833,1.0047,0.7622,0.93247,0.90151,0.88952,0.22683,0.52898,0.77313,0.000874842,0.000874842,0.000874842
98,9019.19,0.41505,0.61987,0.99844,0.75239,0.91699,0.89475,0.88803,0.22804,0.52516,0.77047,0.00086659,0.00086659,0.00086659
99,9111.03,0.41885,0.61401,0.99596,0.75756,0.91203,0.89234,0.87751,0.23796,0.53379,0.77537,0.000858338,0.000858338,0.000858338
100,9202.88,0.42346,0.60624,0.99442,0.83133,0.88169,0.91454,0.90858,0.22983,0.49523,0.77375,0.000850087,0.000850087,0.000850087
101,9294.72,0.40382,0.59688,0.98984,0.82032,0.91931,0.92637,0.91478,0.22654,0.51828,0.76917,0.000841835,0.000841835,0.000841835
102,9387.35,0.41106,0.59077,0.98785,0.7819,0.91567,0.92198,0.91177,0.23082,0.48049,0.77728,0.000833583,0.000833583,0.000833583
103,9479.09,0.39609,0.5939,0.98733,0.78974,0.92893,0.92463,0.91617,0.21897,0.47115,0.76044,0.000825332,0.000825332,0.000825332
104,9570.86,0.40461,0.59656,0.99588,0.80275,0.92151,0.92377,0.91618,0.21822,0.48257,0.76099,0.00081708,0.00081708,0.00081708
105,9662.7,0.40073,0.57856,0.98469,0.77461,0.93322,0.94226,0.93585,0.22168,0.44393,0.76051,0.000808828,0.000808828,0.000808828
106,9754.66,0.40402,0.57884,0.99641,0.85487,0.87435,0.91773,0.90585,0.22624,0.47253,0.76348,0.000800577,0.000800577,0.000800577
107,9846.56,0.41204,0.57662,1.00062,0.80348,0.8929,0.90603,0.8918,0.24282,0.55048,0.77679,0.000792325,0.000792325,0.000792325
108,9938.56,0.40639,0.57924,0.99113,0.84759,0.87584,0.91813,0.91188,0.23021,0.52965,0.76611,0.000784073,0.000784073,0.000784073
109,10030.5,0.39855,0.57724,0.991,0.82909,0.86801,0.90447,0.89665,0.22298,0.51837,0.76784,0.000775822,0.000775822,0.000775822
110,10122.4,0.40543,0.56889,0.99436,0.85177,0.87299,0.88901,0.88032,0.2178,0.57434,0.75997,0.00076757,0.00076757,0.00076757
111,10214.3,0.39292,0.57129,0.98874,0.71796,0.93855,0.91099,0.89711,0.2132,0.54715,0.75838,0.000759318,0.000759318,0.000759318
112,10306.2,0.41571,0.56309,1.00483,0.78834,0.90168,0.90755,0.89714,0.22168,0.50752,0.76329,0.000751067,0.000751067,0.000751067
113,10398.1,0.40295,0.55868,0.98688,0.81576,0.86968,0.8788,0.87305,0.23143,0.51913,0.76635,0.000742815,0.000742815,0.000742815
114,10490,0.38559,0.55076,0.98437,0.8308,0.90707,0.92159,0.90752,0.22532,0.44177,0.76093,0.000734564,0.000734564,0.000734564
115,10581.9,0.39663,0.53584,0.98274,0.82451,0.91381,0.92114,0.91064,0.23135,0.48804,0.77054,0.000726312,0.000726312,0.000726312
116,10673.7,0.3972,0.52935,0.98888,0.82446,0.91681,0.91916,0.90801,0.22735,0.47243,0.7685,0.00071806,0.00071806,0.00071806
117,10765.6,0.40091,0.51432,0.99215,0.79982,0.93729,0.92002,0.9072,0.25174,0.52429,0.80226,0.000709809,0.000709809,0.000709809
118,10857.4,0.39199,0.53093,0.98058,0.76218,0.904,0.9122,0.90256,0.21885,0.55911,0.76233,0.000701557,0.000701557,0.000701557
